Referencia;Cuenta;Importe;Moneda;Fecha valor;Tipo;Concepto
OP-202604-00026;ES6300810000580000001014;1.024,17;EUR;01/04/2026;Egreso;Proveedor
OP-202604-00079;ES7320850000190000001008;706,09;EUR;01/04/2026;Egreso;Proveedor
OP-202604-00082;ES3621000000630000001013;1.063,98;EUR;01/04/2026;Egreso;Proveedor
OP-202604-00118;ES4921000000600000001023;831,73;EUR;01/04/2026;Egreso;Proveedor
OP-202604-00152;ES7320850000190000001008;1.606,51;EUR;01/04/2026;Egreso;Proveedor
OP-202604-00159;ES0220850000130000001028;1.167,22;EUR;01/04/2026;Egreso;Proveedor
OP-202604-00188;ES8301820000920000003008;1.532,82;EUR;01/04/2026;Ingreso;Cobro cliente
OP-202604-00202;ES3520850000140000003004;1.655,34;EUR;01/04/2026;Ingreso;Cobro cliente
OP-202604-00219;ES5721000000620000003012;1.552,74;EUR;01/04/2026;Ingreso;Cobro cliente
OP-202604-00035;ES1320850000110000001025;1.049,55;EUR;02/04/2026;Egreso;Proveedor
OP-202604-00129;ES4800490000010000001017;741,92;EUR;02/04/2026;Egreso;Proveedor
OP-202604-00136;ES7320850000190000001008;1.076,83;EUR;02/04/2026;Egreso;Proveedor
OP-202604-00154;ES3020850000110000001010;889,01;EUR;02/04/2026;Egreso;Proveedor
OP-202604-00161;ES2000810000520000001015;1.536,59;EUR;02/04/2026;Egreso;Proveedor
OP-202604-00203;ES9200810000560000003015;1.247,73;EUR;02/04/2026;Ingreso;Cobro cliente
OP-202604-00230;ES5501820000920000003027;2.648,90;EUR;02/04/2026;Ingreso;Cobro cliente
OP-202604-00241;ES9200810000560000003015;1.719,51;EUR;02/04/2026;Ingreso;Cobro cliente
OP-202604-00259;ES5820850000190000003024;2.225,44;USD;02/04/2026;Ingreso;Cobro exportación
OP-202604-00108;ES6000810000570000001020;683,91;EUR;03/04/2026;Egreso;Proveedor
OP-202604-00128;ES6000810000570000001020;1.184,04;EUR;03/04/2026;Egreso;Proveedor
OP-202604-00133;ES6300810000580000001014;1.002,60;EUR;03/04/2026;Egreso;Proveedor
OP-202604-00193;ES4701820000930000003025;1.765,48;EUR;03/04/2026;Ingreso;Cobro cliente
OP-202604-00209;ES9500810000570000003009;327,16;EUR;03/04/2026;Ingreso;Cobro cliente
OP-202604-00210;ES4820850000110000003014;1.986,53;EUR;03/04/2026;Ingreso;Cobro cliente
OP-202604-00252;ES8700810000580000003007;1.334,45;EUR;03/04/2026;Ingreso;Cobro cliente
OP-202604-00039;ES1200490000020000001034;831,27;EUR;04/04/2026;Egreso;Proveedor
OP-202604-00123;ES6300810000580000001014;1.510,47;EUR;04/04/2026;Egreso;Proveedor
OP-202604-00185;ES8320850000180000003011;2.024,81;EUR;04/04/2026;Ingreso;Cobro cliente
OP-202604-00217;ES7420850000170000003028;2.585,52;EUR;04/04/2026;Ingreso;Cobro cliente
OP-202604-00225;ES5721000000620000003012;2.286,35;EUR;04/04/2026;Ingreso;Cobro cliente
OP-202604-00231;ES8301820000920000003008;1.520,87;EUR;04/04/2026;Ingreso;Cobro cliente
OP-202604-00247;ES5721000000620000003012;1.548,66;EUR;04/04/2026;Ingreso;Cobro cliente
OP-202604-00028;ES7601820000920000001000;734,61;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00038;ES9700810000510000001036;806,31;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00074;ES3020850000110000001010;1.279,37;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00075;ES1100490000070000001001;768,24;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00088;ES0821000000630000001032;1.115,38;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00089;ES1200490000020000001034;752,23;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00092;ES2400490000040000001011;1.347,82;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00107;ES0220850000130000001028;653,64;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00112;ES9521000000670000001016;751,85;EUR;05/04/2026;Egreso;Proveedor
OP-202604-00167;ES4000490000050000003002;1.898,52;EUR;05/04/2026;Ingreso;Cobro cliente
OP-202604-00171;ES5820850000190000003024;2.559,79;EUR;05/04/2026;Ingreso;Cobro cliente
OP-202604-00232;ES3800810000500000003020;2.598,03;EUR;05/04/2026;Ingreso;Cobro cliente
OP-202604-00260;ES8320850000180000003011;1.977,28;USD;05/04/2026;Ingreso;Cobro exportación
OP-202604-00266;ES3200490000060000003000;2.972,09;USD;05/04/2026;Ingreso;Cobro exportación
OP-202604-01616;ES6020850000150000009004;210,35;EUR;05/04/2026;Egreso;Mantenimiento
OP-202604-00036;ES0220850000130000001028;1.163,45;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00053;ES4921000000600000001023;832,83;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00070;ES9721000000640000001030;983,93;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00114;ES4700490000090000001031;897,68;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00115;ES6300810000580000001014;788,86;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00139;ES2321000000660000001003;1.020,06;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00162;ES7520850000160000001022;1.110,19;EUR;06/04/2026;Egreso;Proveedor
OP-202604-00048;ES1100490000070000001001;970,53;EUR;07/04/2026;Egreso;Proveedor
OP-202604-00061;ES9521000000670000001016;149,87;EUR;07/04/2026;Egreso;Proveedor
OP-202604-00064;ES9721000000640000001030;1.001,51;EUR;07/04/2026;Egreso;Proveedor
OP-202604-00065;ES4121000000610000001021;956,26;EUR;07/04/2026;Egreso;Proveedor
OP-202604-00083;ES9521000000670000001016;886,11;EUR;07/04/2026;Egreso;Proveedor
OP-202604-00117;ES1121000000640000001026;129,32;EUR;07/04/2026;Egreso;Proveedor
OP-202604-00194;ES5820850000190000003024;2.107,75;EUR;07/04/2026;Ingreso;Cobro cliente
OP-202604-00208;ES4201820000950000003017;2.070,34;EUR;07/04/2026;Ingreso;Cobro cliente
OP-202604-00213;ES4320850000130000003006;1.791,27;EUR;07/04/2026;Ingreso;Cobro cliente
OP-202604-00262;ES5501820000920000003027;1.804,86;USD;07/04/2026;Ingreso;Cobro exportación
OP-202604-00097;ES2321000000660000001003;750,54;EUR;08/04/2026;Egreso;Proveedor
OP-202604-00104;ES0821000000630000001032;446,87;EUR;08/04/2026;Egreso;Proveedor
OP-202604-00113;ES4600810000580000001029;712,78;EUR;08/04/2026;Egreso;Proveedor
OP-202604-00165;ES7921000000690000001012;1.092,05;EUR;08/04/2026;Egreso;Proveedor
OP-202604-00105;ES4220850000180000001033;876,76;EUR;09/04/2026;Egreso;Proveedor
OP-202604-00124;ES2400490000040000001011;1.072,03;EUR;09/04/2026;Egreso;Proveedor
OP-202604-00130;ES7721000000600000001004;948,78;EUR;09/04/2026;Egreso;Proveedor
OP-202604-00138;ES3020850000110000001010;908,74;EUR;09/04/2026;Egreso;Proveedor
OP-202604-00143;ES1100490000070000001001;1.024,96;EUR;09/04/2026;Egreso;Proveedor
OP-202604-00158;ES3020850000110000001010;825,89;EUR;09/04/2026;Egreso;Proveedor
OP-202604-00192;ES9200810000560000003015;1.083,56;EUR;09/04/2026;Ingreso;Cobro cliente
OP-202604-00200;ES6401820000930000003010;2.115,98;EUR;09/04/2026;Ingreso;Cobro cliente
OP-202604-00216;ES6900490000000000003016;2.522,95;EUR;09/04/2026;Ingreso;Cobro cliente
OP-202604-00227;ES9500810000570000003009;1.778,28;EUR;09/04/2026;Ingreso;Cobro cliente
OP-202604-00233;ES8700810000580000003007;2.134,67;EUR;09/04/2026;Ingreso;Cobro cliente
