Referencia;Cuenta;Importe;Moneda;Fecha valor;Tipo;Concepto
OP-202606-00601;ES4600810000580000001029;818,82;EUR;01/06/2026;Egreso;Proveedor
OP-202606-00660;ES1100490000070000001001;1.314,07;EUR;01/06/2026;Egreso;Proveedor
OP-202606-00700;ES1121000000670000003013;2.653,40;EUR;01/06/2026;Ingreso;Cobro cliente
OP-202606-00712;ES8600490000000000003001;2.204,04;EUR;01/06/2026;Ingreso;Cobro cliente
OP-202606-00713;ES8600490000000000003001;1.960,17;EUR;01/06/2026;Ingreso;Cobro cliente
OP-202606-00728;ES0720850000140000003023;1.169,86;EUR;01/06/2026;Ingreso;Cobro cliente
OP-202606-00795;ES7420850000170000003028;2.761,44;USD;01/06/2026;Ingreso;Cobro exportación
OP-202606-00801;ES9801820000980000003026;2.835,19;USD;01/06/2026;Ingreso;Cobro exportación
OP-202606-00604;ES5821000000610000001006;1.480,73;EUR;02/06/2026;Egreso;Proveedor
OP-202606-00635;ES9600490000050000001024;878,28;EUR;02/06/2026;Egreso;Proveedor
OP-202606-00661;ES8321000000650000001039;1.147,37;EUR;02/06/2026;Egreso;Proveedor
OP-202606-00664;ES4721000000630000001009;519,97;EUR;02/06/2026;Egreso;Proveedor
OP-202606-00691;ES1121000000640000001026;1.367,71;EUR;02/06/2026;Egreso;Proveedor
OP-202606-00692;ES7100490000060000001037;852,47;EUR;02/06/2026;Egreso;Proveedor
OP-202606-00706;ES2400810000510000003029;1.202,61;EUR;02/06/2026;Ingreso;Cobro cliente
OP-202606-00758;ES8700810000580000003007;2.249,17;EUR;02/06/2026;Ingreso;Cobro cliente
OP-202606-00782;ES8320850000180000003011;2.657,15;EUR;02/06/2026;Ingreso;Cobro cliente
OP-202606-00786;ES9200810000560000003015;1.856,43;EUR;02/06/2026;Ingreso;Cobro cliente
OP-202606-00796;ES4701820000930000003025;1.634,80;USD;02/06/2026;Ingreso;Cobro exportación
OP-202606-00616;ES7601820000920000001000;930,42;EUR;03/06/2026;Egreso;Proveedor
OP-202606-00702;ES5501820000920000003027;1.282,14;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00709;ES5820850000190000003024;1.220,13;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00714;ES1100810000540000003019;2.663,34;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00749;ES4201820000950000003017;2.013,73;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00761;ES4701820000930000003025;2.233,95;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00771;ES5721000000620000003012;2.202,00;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00774;ES7420850000170000003028;1.011,75;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00776;ES4321000000610000003022;1.273,27;EUR;03/06/2026;Ingreso;Cobro cliente
OP-202606-00607;ES7520850000160000001022;1.391,84;EUR;04/06/2026;Egreso;Proveedor
OP-202606-00686;ES2400490000040000001011;1.342,89;EUR;04/06/2026;Egreso;Proveedor
OP-202606-00720;ES4701820000930000003025;1.918,01;EUR;04/06/2026;Ingreso;Cobro cliente
OP-202606-00790;ES3800810000500000003020;2.135,28;USD;04/06/2026;Ingreso;Cobro exportación
OP-202606-00570;ES4220850000180000001033;1.320,37;EUR;05/06/2026;Egreso;Proveedor
OP-202606-00576;ES8321000000650000001039;838,18;EUR;05/06/2026;Egreso;Proveedor
OP-202606-00588;ES1100490000070000001001;1.196,68;EUR;05/06/2026;Egreso;Proveedor
OP-202606-00653;ES4600810000580000001029;1.213,67;EUR;05/06/2026;Egreso;Proveedor
OP-202606-00729;ES9801820000980000003026;1.411,91;EUR;05/06/2026;Ingreso;Cobro cliente
OP-202606-00769;ES1100810000540000003019;2.388,72;EUR;05/06/2026;Ingreso;Cobro cliente
OP-202606-00787;ES7121000000610000003003;1.298,00;EUR;05/06/2026;Ingreso;Cobro cliente
OP-202606-01618;ES6020850000150000009004;210,35;EUR;05/06/2026;Egreso;Mantenimiento
OP-202606-00566;ES0821000000630000001032;923,89;EUR;06/06/2026;Egreso;Proveedor
OP-202606-00578;ES7520850000160000001022;910,41;EUR;06/06/2026;Egreso;Proveedor
OP-202606-00580;ES5821000000610000001006;1.172,90;EUR;06/06/2026;Egreso;Proveedor
OP-202606-00690;ES4320850000100000001019;817,21;EUR;06/06/2026;Egreso;Proveedor
OP-202606-00735;ES1121000000670000003013;2.082,68;EUR;06/06/2026;Ingreso;Cobro cliente
OP-202606-00755;ES4000490000050000003002;2.037,95;EUR;06/06/2026;Ingreso;Cobro cliente
OP-202606-00770;ES4320850000130000003006;2.048,23;EUR;06/06/2026;Ingreso;Cobro cliente
OP-202606-00793;ES5721000000620000003012;2.787,04;USD;06/06/2026;Ingreso;Cobro exportación
OP-202606-00581;ES5821000000610000001006;914,72;EUR;07/06/2026;Egreso;Proveedor
OP-202606-00639;ES7601820000920000001000;638,47;EUR;07/06/2026;Egreso;Proveedor
OP-202606-00643;ES4721000000630000001009;1.125,90;EUR;07/06/2026;Egreso;Proveedor
OP-202606-00647;ES4320850000100000001019;1.284,83;EUR;07/06/2026;Egreso;Proveedor
OP-202606-00685;ES1420850000150000001005;718,28;EUR;07/06/2026;Egreso;Proveedor
OP-202606-00699;ES9721000000640000001030;634,02;EUR;07/06/2026;Egreso;Proveedor
OP-202606-00746;ES4321000000610000003022;2.558,75;EUR;07/06/2026;Ingreso;Cobro cliente
OP-202606-00754;ES4320850000130000003006;1.689,64;EUR;07/06/2026;Ingreso;Cobro cliente
OP-202606-00577;ES4721000000630000001009;1.370,97;EUR;08/06/2026;Egreso;Proveedor
OP-202606-00619;ES5821000000610000001006;679,47;EUR;08/06/2026;Egreso;Proveedor
OP-202606-00620;ES4220850000180000001033;881,92;EUR;08/06/2026;Egreso;Proveedor
OP-202606-00705;ES5000490000010000003018;2.473,74;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00730;ES1121000000670000003013;1.678,64;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00732;ES7420850000170000003028;1.760,22;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00744;ES2400810000510000003029;2.327,61;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00750;ES4000490000050000003002;1.559,20;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00780;ES8320850000180000003011;2.483,60;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00781;ES0720850000140000003023;3.010,61;EUR;08/06/2026;Ingreso;Cobro cliente
OP-202606-00575;ES7921000000690000001012;1.213,74;EUR;09/06/2026;Egreso;Proveedor
OP-202606-00584;ES5821000000610000001006;952,63;EUR;09/06/2026;Egreso;Proveedor
OP-202606-00615;ES2321000000660000001003;792,91;EUR;09/06/2026;Egreso;Proveedor
OP-202606-00618;ES7100490000060000001037;692,28;EUR;09/06/2026;Egreso;Proveedor
OP-202606-00711;ES1621000000650000003021;2.716,37;EUR;09/06/2026;Ingreso;Cobro cliente
OP-202606-00734;ES8301820000920000003008;2.045,48;EUR;09/06/2026;Ingreso;Cobro cliente
OP-202606-00739;ES3520850000140000003004;1.197,02;EUR;09/06/2026;Ingreso;Cobro cliente
OP-202606-00747;ES2400810000510000003029;2.243,71;EUR;09/06/2026;Ingreso;Cobro cliente
OP-202606-00762;ES8320850000180000003011;2.456,95;EUR;09/06/2026;Ingreso;Cobro cliente
OP-202606-00784;ES8600490000000000003001;2.901,46;EUR;09/06/2026;Ingreso;Cobro cliente
OP-202606-00565;ES3621000000630000001013;1.263,44;EUR;10/06/2026;Egreso;Proveedor
OP-202606-00668;ES3621000000630000001013;646,51;EUR;10/06/2026;Egreso;Proveedor
OP-202606-00670;ES0621000000660000001018;668,87;EUR;10/06/2026;Egreso;Proveedor
OP-202606-00715;ES5721000000620000003012;1.501,54;EUR;10/06/2026;Ingreso;Cobro cliente
OP-202606-00725;ES6401820000930000003010;2.177,85;EUR;10/06/2026;Ingreso;Cobro cliente
OP-202606-00737;ES8600490000000000003001;1.537,42;EUR;10/06/2026;Ingreso;Cobro cliente
OP-202606-00789;ES0720850000140000003023;2.104,95;EUR;10/06/2026;Ingreso;Cobro cliente
OP-202606-00579;ES2000810000520000001015;610,25;EUR;11/06/2026;Egreso;Proveedor
OP-202606-00596;ES4520850000190000001027;1.030,02;EUR;11/06/2026;Egreso;Proveedor
OP-202606-00667;ES4921000000600000001023;1.043,15;EUR;11/06/2026;Egreso;Proveedor
OP-202606-00669;ES4520850000190000001027;1.024,53;EUR;11/06/2026;Egreso;Proveedor
OP-202606-00674;ES5401820000940000001007;1.360,82;EUR;11/06/2026;Egreso;Proveedor
OP-202606-00675;ES7921000000690000001012;910,41;EUR;11/06/2026;Egreso;Proveedor
OP-202606-00777;ES8301820000920000003008;1.112,58;EUR;11/06/2026;Ingreso;Cobro cliente
OP-202606-00791;ES9200810000560000003015;2.269,23;USD;11/06/2026;Ingreso;Cobro exportación
OP-202606-00564;ES1100490000070000001001;1.456,61;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00614;ES8321000000650000001039;1.369,93;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00624;ES4721000000630000001009;701,74;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00627;ES9721000000640000001030;960,94;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00630;ES4800490000010000001017;838,15;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00642;ES0220850000130000001028;1.094,93;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00673;ES0821000000630000001032;981,58;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00688;ES7601820000920000001000;1.425,51;EUR;12/06/2026;Egreso;Proveedor
OP-202606-00798;ES5501820000920000003027;2.671,57;USD;12/06/2026;Ingreso;Cobro exportación
OP-202606-00562;ES5821000000610000001006;1.162,15;EUR;13/06/2026;Egreso;Proveedor
OP-202606-00585;ES3621000000630000001013;1.100,44;EUR;13/06/2026;Egreso;Proveedor
OP-202606-00612;ES2400490000040000001011;957,22;EUR;13/06/2026;Egreso;Proveedor
OP-202606-00677;ES4500810000510000001002;834,70;EUR;13/06/2026;Egreso;Proveedor
OP-202606-00679;ES2321000000660000001003;418,03;EUR;13/06/2026;Egreso;Proveedor
OP-202606-00683;ES8321000000650000001039;877,38;EUR;13/06/2026;Egreso;Proveedor
OP-202606-00722;ES9200810000560000003015;2.551,70;EUR;13/06/2026;Ingreso;Cobro cliente
OP-202606-00731;ES5721000000620000003012;1.776,64;EUR;13/06/2026;Ingreso;Cobro cliente
OP-202606-00743;ES4701820000930000003025;2.238,82;EUR;13/06/2026;Ingreso;Cobro cliente
OP-202606-00757;ES8320850000180000003011;1.632,50;EUR;13/06/2026;Ingreso;Cobro cliente
OP-202606-00779;ES6900490000000000003016;1.747,51;EUR;13/06/2026;Ingreso;Cobro cliente
OP-202606-00800;ES7121000000610000003003;2.778,13;USD;13/06/2026;Ingreso;Cobro exportación
OP-202606-00583;ES4320850000100000001019;1.487,64;EUR;14/06/2026;Egreso;Proveedor
OP-202606-00611;ES4121000000610000001021;1.020,38;EUR;14/06/2026;Egreso;Proveedor
OP-202606-00617;ES1121000000640000001026;1.241,58;EUR;14/06/2026;Egreso;Proveedor
OP-202606-00629;ES9521000000670000001016;780,91;EUR;14/06/2026;Egreso;Proveedor
OP-202606-00650;ES9521000000670000001016;1.226,41;EUR;14/06/2026;Egreso;Proveedor
OP-202606-00658;ES4921000000600000001023;709,46;EUR;14/06/2026;Egreso;Proveedor
OP-202606-00767;ES8301820000920000003008;1.858,00;EUR;14/06/2026;Ingreso;Cobro cliente
OP-202606-00572;ES4600810000580000001029;746,84;EUR;15/06/2026;Egreso;Proveedor
OP-202606-00621;ES1320850000110000001025;1.229,84;EUR;15/06/2026;Egreso;Proveedor
OP-202606-00625;ES1121000000640000001026;635,96;EUR;15/06/2026;Egreso;Proveedor
OP-202606-00656;ES6000810000570000001020;956,57;EUR;15/06/2026;Egreso;Proveedor
OP-202606-00695;ES1320850000110000001025;902,08;EUR;15/06/2026;Egreso;Proveedor
OP-202606-00710;ES9200810000560000003015;1.867,36;EUR;15/06/2026;Ingreso;Cobro cliente
OP-202606-00733;ES4701820000930000003025;1.379,80;EUR;15/06/2026;Ingreso;Cobro cliente
OP-202606-00748;ES5721000000620000003012;1.988,55;EUR;15/06/2026;Ingreso;Cobro cliente
OP-202606-00760;ES3800810000500000003020;1.872,23;EUR;15/06/2026;Ingreso;Cobro cliente
OP-202606-00773;ES4321000000610000003022;2.076,73;EUR;15/06/2026;Ingreso;Cobro cliente
OP-202606-01612;ES0200810000500000009003;3.000,00;EUR;15/06/2026;Egreso;Asesoría
OP-202606-00600;ES4520850000190000001027;935,36;EUR;16/06/2026;Egreso;Proveedor
OP-202606-00623;ES7921000000690000001012;1.110,05;EUR;16/06/2026;Egreso;Proveedor
OP-202606-00652;ES2321000000660000001003;1.173,62;EUR;16/06/2026;Egreso;Proveedor
OP-202606-00657;ES9700810000510000001036;813,11;EUR;16/06/2026;Egreso;Proveedor
OP-202606-00697;ES4721000000630000001009;1.139,06;EUR;16/06/2026;Egreso;Proveedor
OP-202606-00719;ES4820850000110000003014;2.241,62;EUR;16/06/2026;Ingreso;Cobro cliente
OP-202606-00741;ES5820850000190000003024;1.903,30;EUR;16/06/2026;Ingreso;Cobro cliente
OP-202606-00742;ES4201820000950000003017;1.921,83;EUR;16/06/2026;Ingreso;Cobro cliente
OP-202606-00753;ES6401820000930000003010;1.996,82;EUR;16/06/2026;Ingreso;Cobro cliente
OP-202606-00759;ES2400810000510000003029;1.005,48;EUR;16/06/2026;Ingreso;Cobro cliente
OP-202606-00765;ES5000490000010000003018;2.070,19;EUR;16/06/2026;Ingreso;Cobro cliente
OP-202606-00792;ES8320850000180000003011;2.224,67;USD;16/06/2026;Ingreso;Cobro exportación
OP-202606-00574;ES2000810000520000001015;1.000,96;EUR;17/06/2026;Egreso;Proveedor
OP-202606-00587;ES6300810000580000001014;981,67;EUR;17/06/2026;Egreso;Proveedor
OP-202606-00606;ES7921000000690000001012;1.057,90;EUR;17/06/2026;Egreso;Proveedor
OP-202606-00609;ES9721000000640000001030;727,59;EUR;17/06/2026;Egreso;Proveedor
OP-202606-00610;ES4921000000600000001023;1.448,44;EUR;17/06/2026;Egreso;Proveedor
