Referencia;Cuenta;Importe;Moneda;Fecha valor;Tipo;Concepto
OP-202608-01103;ES4500810000510000001002;943,02;EUR;01/08/2026;Egreso;Proveedor
OP-202608-01135;ES0220850000130000001028;1.199,54;EUR;01/08/2026;Egreso;Proveedor
OP-202608-01137;ES0621000000660000001018;575,23;EUR;01/08/2026;Egreso;Proveedor
OP-202608-01170;ES4500810000510000001002;969,60;EUR;01/08/2026;Egreso;Proveedor
OP-202608-01191;ES7601820000920000001000;789,66;EUR;01/08/2026;Egreso;Proveedor
OP-202608-01246;ES3800810000500000003020;2.664,55;EUR;01/08/2026;Ingreso;Cobro cliente
OP-202608-01249;ES0720850000140000003023;2.017,40;EUR;01/08/2026;Ingreso;Cobro cliente
OP-202608-01287;ES4701820000930000003025;1.868,60;EUR;01/08/2026;Ingreso;Cobro cliente
OP-202608-01121;ES2321000000660000001003;776,65;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01122;ES1320850000110000001025;1.452,36;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01130;ES7601820000920000001000;1.212,83;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01169;ES8321000000650000001039;1.063,97;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01179;ES4700490000090000001031;1.391,18;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01200;ES8321000000650000001039;986,32;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01206;ES1520850000100000001038;1.076,11;EUR;02/08/2026;Egreso;Proveedor
OP-202608-01238;ES4320850000130000003006;2.101,52;EUR;02/08/2026;Ingreso;Cobro cliente
OP-202608-01277;ES7121000000610000003003;2.025,32;EUR;02/08/2026;Ingreso;Cobro cliente
OP-202608-01307;ES8320850000180000003011;2.529,76;EUR;02/08/2026;Ingreso;Cobro cliente
OP-202608-01323;ES3200490000060000003000;2.815,36;EUR;02/08/2026;Ingreso;Cobro cliente
OP-202608-01102;ES8201820000970000001035;826,53;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01104;ES4700490000090000001031;249,54;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01108;ES7520850000160000001022;1.097,99;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01111;ES2000810000520000001015;737,03;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01134;ES4121000000610000001021;1.473,50;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01208;ES4800490000010000001017;933,76;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01229;ES4121000000610000001021;1.280,17;EUR;03/08/2026;Egreso;Proveedor
OP-202608-01243;ES8600490000000000003001;3.095,35;EUR;03/08/2026;Ingreso;Cobro cliente
OP-202608-01252;ES8600490000000000003001;2.765,24;EUR;03/08/2026;Ingreso;Cobro cliente
OP-202608-01330;ES2400810000510000003029;2.216,23;USD;03/08/2026;Ingreso;Cobro exportación
OP-202608-01334;ES8301820000920000003008;2.479,87;USD;03/08/2026;Ingreso;Cobro exportación
OP-202608-01115;ES3020850000110000001010;1.591,38;EUR;04/08/2026;Egreso;Proveedor
OP-202608-01165;ES0821000000630000001032;766,57;EUR;04/08/2026;Egreso;Proveedor
OP-202608-01177;ES9521000000670000001016;1.456,89;EUR;04/08/2026;Egreso;Proveedor
OP-202608-01241;ES3800810000500000003020;2.954,23;EUR;04/08/2026;Ingreso;Cobro cliente
OP-202608-01324;ES7420850000170000003028;2.848,36;USD;04/08/2026;Ingreso;Cobro exportación
OP-202608-01126;ES3020850000110000001010;1.431,55;EUR;05/08/2026;Egreso;Proveedor
OP-202608-01150;ES1420850000150000001005;907,17;EUR;05/08/2026;Egreso;Proveedor
OP-202608-01163;ES0220850000130000001028;812,98;EUR;05/08/2026;Egreso;Proveedor
OP-202608-01210;ES7100490000060000001037;808,52;EUR;05/08/2026;Egreso;Proveedor
OP-202608-01227;ES7721000000600000001004;940,99;EUR;05/08/2026;Egreso;Proveedor
OP-202608-01245;ES0720850000140000003023;2.679,47;EUR;05/08/2026;Ingreso;Cobro cliente
OP-202608-01271;ES8301820000920000003008;2.339,87;EUR;05/08/2026;Ingreso;Cobro cliente
OP-202608-01276;ES1100810000540000003019;3.555,88;EUR;05/08/2026;Ingreso;Cobro cliente
OP-202608-01309;ES5501820000920000003027;1.067,06;EUR;05/08/2026;Ingreso;Cobro cliente
OP-202608-01311;ES7121000000610000003003;2.188,15;EUR;05/08/2026;Ingreso;Cobro cliente
OP-202608-01320;ES8600490000000000003001;2.435,97;EUR;05/08/2026;Ingreso;Cobro cliente
OP-202608-01620;ES6020850000150000009004;210,35;EUR;05/08/2026;Egreso;Mantenimiento
OP-202608-01117;ES9600490000050000001024;510,58;EUR;06/08/2026;Egreso;Proveedor
OP-202608-01154;ES6300810000580000001014;833,54;EUR;06/08/2026;Egreso;Proveedor
OP-202608-01166;ES1200490000020000001034;616,50;EUR;06/08/2026;Egreso;Proveedor
OP-202608-01175;ES7520850000160000001022;1.030,10;EUR;06/08/2026;Egreso;Proveedor
OP-202608-01186;ES9521000000670000001016;1.183,07;EUR;06/08/2026;Egreso;Proveedor
OP-202608-01201;ES3621000000630000001013;1.186,39;EUR;06/08/2026;Egreso;Proveedor
OP-202608-01235;ES7420850000170000003028;2.044,06;EUR;06/08/2026;Ingreso;Cobro cliente
OP-202608-01251;ES6401820000930000003010;1.727,94;EUR;06/08/2026;Ingreso;Cobro cliente
OP-202608-01259;ES6401820000930000003010;2.479,88;EUR;06/08/2026;Ingreso;Cobro cliente
OP-202608-01278;ES5820850000190000003024;1.825,62;EUR;06/08/2026;Ingreso;Cobro cliente
OP-202608-01326;ES3200490000060000003000;2.980,05;USD;06/08/2026;Ingreso;Cobro exportación
OP-202608-01097;ES4700490000090000001031;1.471,31;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01098;ES4320850000100000001019;1.637,97;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01107;ES4700490000090000001031;989,80;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01157;ES5821000000610000001006;838,91;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01171;ES1520850000100000001038;1.095,00;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01183;ES7520850000160000001022;997,89;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01199;ES4220850000180000001033;952,57;EUR;07/08/2026;Egreso;Proveedor
OP-202608-01284;ES9200810000560000003015;2.280,74;EUR;07/08/2026;Ingreso;Cobro cliente
OP-202608-01319;ES8700810000580000003007;1.110,44;EUR;07/08/2026;Ingreso;Cobro cliente
OP-202608-01331;ES8320850000180000003011;2.872,69;USD;07/08/2026;Ingreso;Cobro exportación
OP-202608-01335;ES8600490000000000003001;2.432,93;USD;07/08/2026;Ingreso;Cobro exportación
OP-202608-01120;ES9521000000670000001016;1.528,24;EUR;08/08/2026;Egreso;Proveedor
OP-202608-01149;ES7921000000690000001012;776,93;EUR;08/08/2026;Egreso;Proveedor
OP-202608-01158;ES4700490000090000001031;827,36;EUR;08/08/2026;Egreso;Proveedor
OP-202608-01274;ES3800810000500000003020;2.531,88;EUR;08/08/2026;Ingreso;Cobro cliente
OP-202608-01293;ES5501820000920000003027;1.893,55;EUR;08/08/2026;Ingreso;Cobro cliente
OP-202608-01295;ES8700810000580000003007;2.226,78;EUR;08/08/2026;Ingreso;Cobro cliente
OP-202608-01303;ES5501820000920000003027;2.441,33;EUR;08/08/2026;Ingreso;Cobro cliente
OP-202608-01182;ES2000810000520000001015;983,03;EUR;09/08/2026;Egreso;Proveedor
OP-202608-01209;ES0821000000630000001032;840,54;EUR;09/08/2026;Egreso;Proveedor
OP-202608-01333;ES4000490000050000003002;1.647,05;USD;09/08/2026;Ingreso;Cobro exportación
OP-202608-01113;ES4721000000630000001009;1.096,56;EUR;10/08/2026;Egreso;Proveedor
OP-202608-01132;ES4721000000630000001009;1.217,90;EUR;10/08/2026;Egreso;Proveedor
OP-202608-01147;ES7320850000190000001008;734,28;EUR;10/08/2026;Egreso;Proveedor
OP-202608-01216;ES7721000000600000001004;1.090,27;EUR;10/08/2026;Egreso;Proveedor
OP-202608-01231;ES2400490000040000001011;861,72;EUR;10/08/2026;Egreso;Proveedor
OP-202608-01297;ES8301820000920000003008;2.612,50;EUR;10/08/2026;Ingreso;Cobro cliente
